fecha,viajeros
2009-01-01,13379.0
2009-02-01,11674.000000000002
2009-03-01,11522.0
2009-04-01,9289.999999999998
2009-05-01,6517.0
2009-06-01,842.0
2009-07-01,1115.0
2009-08-01,8699.0
2009-09-01,771.0
2009-10-01,846.0
2009-11-01,12913.0
2009-12-01,16135.999999999998
2010-01-01,14333.0
2010-02-01,7233.0
2010-03-01,10280.0
2010-04-01,6692.0
2010-05-01,2228.0
2010-06-01,943.0
2010-07-01,988.0
2010-08-01,7463.0
2010-09-01,714.0
2010-10-01,5218.0
2010-11-01,11566.0
2010-12-01,17505.0
2011-01-01,6649.0
2011-02-01,8579.0
2011-03-01,8008.0
2011-04-01,17334.0
2011-05-01,7765.0
2011-06-01,2270.0
2011-07-01,1260.0
2011-08-01,11698.0
2011-09-01,641.0
2011-10-01,4729.0
2011-11-01,6434.0
2011-12-01,9952.0
2012-01-01,7250.0
2012-02-01,6226.0
2012-03-01,5185.0
2012-04-01,8096.0
2012-05-01,9779.0
2012-06-01,965.0
2012-07-01,1937.0
2012-08-01,15710.0
2012-09-01,819.0
2012-10-01,3023.0
2012-11-01,10062.0
2012-12-01,17076.0
2013-01-01,9974.0
2013-02-01,7927.0
2013-03-01,15859.0
2013-04-01,10752.0
2013-05-01,5056.0
2013-06-01,943.0
2013-07-01,1998.0
2013-08-01,3058.0
2013-09-01,1339.0
2013-10-01,1890.0
2013-11-01,13151.0
2013-12-01,12985.0
2014-01-01,13722.0
2014-02-01,8477.0
2014-03-01,12836.0
2014-04-01,13576.0
2014-05-01,4306.0
2014-06-01,937.0
2014-07-01,1077.0
2014-08-01,3015.0
2014-09-01,818.0
2014-10-01,718.0
2014-11-01,12851.0
2014-12-01,11524.0
2015-01-01,7194.0
2015-02-01,8514.0
2015-03-01,12673.0
2015-04-01,21743.0
2015-05-01,8664.0
2015-06-01,2029.0
2015-07-01,2001.0
2015-08-01,7790.0
2015-09-01,662.0
2015-10-01,3225.0
2015-11-01,6780.0
2015-12-01,7801.0
2016-01-01,8953.0
2016-02-01,11708.0
2016-03-01,14234.0
2016-04-01,12028.0
2016-05-01,9518.0
2016-06-01,1366.0
2016-07-01,1708.0
2016-08-01,11894.000000000002
2016-09-01,662.0
2016-10-01,3017.0
2016-11-01,16219.000000000002
2016-12-01,22983.0
2017-01-01,18286.0
2017-02-01,12864.999999999998
2017-03-01,11212.0
2017-04-01,20271.000000000004
2017-05-01,5908.0
2017-06-01,1460.0
2017-07-01,1543.0
2017-08-01,0.0
2017-09-01,4268.0
2017-10-01,12419.0
2017-11-01,15268.0
2017-12-01,25563.0
2018-01-01,29506.0
2018-02-01,16491.0
2018-03-01,17604.0
2018-04-01,19374.000000000004
2018-05-01,8936.0
2018-06-01,2020.0
2018-07-01,0.0
2018-08-01,743.0
2018-09-01,2149.0
2018-10-01,14864.000000000002
2018-11-01,17760.0
2018-12-01,20945.000000000004
2019-01-01,23513.0
2019-02-01,13685.0
2019-03-01,20991.000000000004
2019-04-01,17393.0
2019-05-01,1992.0
2019-06-01,0.0
2019-07-01,1966.0
2019-08-01,0.0
2019-09-01,1294.0
2019-10-01,17004.0
2019-11-01,23599.0
2019-12-01,9352.0
2020-01-01,19028.0
2020-02-01,16419.0
2020-03-01,6545.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,1313.0
2021-12-01,2595.0
2022-01-01,676.0
2022-02-01,448.0
2022-03-01,852.0
2022-04-01,3902.0
2022-05-01,897.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,2975.0
2022-11-01,6238.0
2022-12-01,10042.0
2023-01-01,682.0
2023-02-01,529.0
2023-03-01,705.0
2023-04-01,674.0
2023-05-01,545.0
2023-06-01,598.0
2023-07-01,624.0
2023-08-01,592.0
2023-09-01,346.0
2023-10-01,279.0
2023-11-01,538.0
2023-12-01,505.0
2024-01-01,572.0
2024-02-01,635.0
2024-03-01,717.0
2024-04-01,552.0
2024-05-01,523.0
2024-06-01,555.0
2024-07-01,537.0
2024-08-01,560.0
2024-09-01,321.0
2024-10-01,386.0
2024-11-01,601.0
2024-12-01,646.0
2025-01-01,603.0
2025-02-01,612.0
2025-03-01,595.0
2025-04-01,937.0
2025-05-01,576.0
2025-06-01,492.0
2025-07-01,606.0
2025-08-01,566.0
2025-09-01,366.0
2025-10-01,393.0
2025-11-01,534.0
2025-12-01,664.0
2026-01-01,644.0
2026-02-01,758.0
2026-03-01,672.0
2026-04-01,720.0
2026-05-01,603.0
2026-06-01,576.0
