fecha,viajeros
2009-01-01,183505.5905347593
2009-02-01,149426.2539075136
2009-03-01,174237.2270951157
2009-04-01,182842.4899173554
2009-05-01,133194.66765069554
2009-06-01,156292.12857142845
2009-07-01,140089.27569229022
2009-08-01,189382.18837563434
2009-09-01,135790.18845637582
2009-10-01,156825.9666666667
2009-11-01,189158.16000000012
2009-12-01,238031.58770897836
2010-01-01,199130.9858823529
2010-02-01,152599.55714285714
2010-03-01,176632.7872462976
2010-04-01,179655.10000000006
2010-05-01,146392.53513761464
2010-06-01,160401.53999999995
2010-07-01,203255.90921084874
2010-08-01,192892.4358336446
2010-09-01,133847.88865537662
2010-10-01,166234.54099203463
2010-11-01,193720.08842105273
2010-12-01,248135.48519124987
2011-01-01,199120.59029411766
2011-02-01,160806.84761904762
2011-03-01,182584.30508188406
2011-04-01,211761.74419302514
2011-05-01,156728.34999999995
2011-06-01,170083.35714285713
2011-07-01,204325.66331283798
2011-08-01,187854.6781400468
2011-09-01,144432.6912044162
2011-10-01,159566.86878067983
2011-11-01,196650.4950404817
2011-12-01,257540.5152835257
2012-01-01,210834.305882353
2012-02-01,169001.26952380955
2012-03-01,196093.11365490346
2012-04-01,193661.7499999999
2012-05-01,164972.46000000002
2012-06-01,179413.4692857143
2012-07-01,203982.72000106898
2012-08-01,188092.5113766111
2012-09-01,151540.5526229508
2012-10-01,174443.9581938911
2012-11-01,208257.7518037972
2012-12-01,259521.71697674415
2013-01-01,195440.51999839998
2013-02-01,156393.08999989994
2013-03-01,238388.6366329104
2013-04-01,192705.51000000004
2013-05-01,188955.55999999997
2013-06-01,203522.43999999997
2013-07-01,216160.6217850375
2013-08-01,201934.6200000001
2013-09-01,168085.2500028
2013-10-01,172476.97999999995
2013-11-01,218786.41999999993
2013-12-01,279319.32999999996
2014-01-01,234446.53999999992
2014-02-01,182721.75
2014-03-01,215178.73433878162
2014-04-01,243823.90000000002
2014-05-01,196933.52000000008
2014-06-01,202425.34999985993
2014-07-01,239373.68999999997
2014-08-01,229607.76999999996
2014-09-01,190814.11
2014-10-01,226630.01000000004
2014-11-01,262353.2899999996
2014-12-01,338293.3
2015-01-01,253275.000001625
2015-02-01,207976.49999823695
2015-03-01,265027.28444746643
2015-04-01,271468.4999999886
2015-05-01,238063.29823437225
2015-06-01,252347.99999916193
2015-07-01,257181.99999890625
2015-08-01,260587.50000028274
2015-09-01,209004.49999934426
2015-10-01,235017.99999686194
2015-11-01,252959.50000221597
2015-12-01,338732.50000370404
2016-01-01,279290.9999999999
2016-02-01,234617.99999999988
2016-03-01,347084.00000000006
2016-04-01,248439.00000000006
2016-05-01,257081.0
2016-06-01,268068.6562500002
2016-07-01,308371.75939849706
2016-08-01,309029.99999999977
2016-09-01,215265.39883619457
2016-10-01,299690.0
2016-11-01,325923.0
2016-12-01,403355.0218579234
2017-01-01,327088.2196146738
2017-02-01,276842.8785826486
2017-03-01,339725.37321970536
2017-04-01,398107.9311828097
2017-05-01,280611.37535503623
2017-06-01,300218.7854
2017-07-01,359006.57369999983
2017-08-01,400119.0166000009
2017-09-01,244041.30469999992
2017-10-01,274807.10442170204
2017-11-01,316608.2421300007
2017-12-01,404283.4961000003
2018-01-01,356933.8923320003
2018-02-01,287123.4266880002
2018-03-01,435063.99999999884
2018-04-01,390488.66023500025
2018-05-01,303919.7562999992
2018-06-01,344009.8457930184
2018-07-01,359320.84170000005
2018-08-01,378651.77360000083
2018-09-01,288075.091731506
2018-10-01,314775.24679066514
2018-11-01,346802.54537830804
2018-12-01,451183.5759149496
2019-01-01,409070.1841228372
2019-02-01,322067.5757750438
2019-03-01,399233.16485603753
2019-04-01,438126.02571626974
2019-05-01,322838.7189971024
2019-06-01,360723.62495207327
2019-07-01,424549.22910102265
2019-08-01,435156.2167264152
2019-09-01,326378.553693717
2019-10-01,333222.5816606803
2019-11-01,404633.87888198986
2019-12-01,515820.44595176575
2020-01-01,465740.1746839287
2020-02-01,389261.6257059582
2020-03-01,176870.29003846797
2020-04-01,10039.0
2020-05-01,9779.0
2020-06-01,11817.0
2020-07-01,13484.0
2020-08-01,15357.0
2020-09-01,25389.528915275994
2020-10-01,30538.524452566482
2020-11-01,58632.0
2020-12-01,59432.0
2021-01-01,104620.0
2021-02-01,65463.0
2021-03-01,105145.0549412881
